Title,Latitude,Longitude,Power (kW),Connector Type,State,Address,Charger ID,Operator,Google Maps Navigation Link
Payyoli - Cherandathur Road,11.519344,75.628354,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"727, Payyoli - Cherandathur Road",L1DC0118,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.519344,75.628354"
Bolt.Earth Station (673525) - L1DC0100,11.582273,75.757733,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"673525,Kerala",L1DC0100,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.582273,75.757733"
Eastmukku Ulliyeri Kozhikode 673323,11.446666,75.77275,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Eastmukku Ulliyeri Kozhikode 673323,L1DC0104,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.446666,75.77275"
Vengalam,11.357055,75.741589,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Vengalam,L1DC0049,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.357055,75.741589"
Kunduparampa,11.309571,75.779435,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Kunduparampa,L1DC0048,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.309571,75.779435"
Kunduparamba Road,11.309456,75.779473,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Kunduparamba Road, Kozhikode",L1DC0094,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.309456,75.779473"
Krishna Charging Station,11.285395,75.771049,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Krishna Charging Station, Westhill , Kozhikode, Pincode: 673005",L1DC0042,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.285395,75.771049"
Iringadampalli Road,11.280614,75.821953,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Iringadampalli Road, Vrindavan Colony",L1DC0016,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.280614,75.821953"
Iringadampalli Road,11.280616,75.82196,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Iringadampalli Road, Vrindavan Colony",L1DC0427,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.280616,75.82196"
Kuttoth EV Charging Station Iringadanpalli Junction Kozhikode Pin 673017,11.280842,75.824525,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Kuttoth EV Charging Station Iringadanpalli Junction Kozhikode Pin 673017,L1DC0057,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.280842,75.824525"
